"word_rank","word","frequency"
1274,GROVE,3431
1275,IRONY,3398
1276,WALTZ,3396
1277,AWAIT,3391
1278,VERSE,3386
1279,BLISS,3377
1280,DONNY,3377
1281,HIDES,3372
1282,WRATH,3364
1283,TUTOR,3363
1284,TUBES,3361
1285,CLAWS,3360
1286,CAVES,3354
1287,STERN,3353
1288,CURLY,3345
1289,BATCH,3338
1290,BIKES,3318
1291,MEDIC,3308
1292,SEWER,3307
1293,MOOSE,3298
1294,BRACE,3293
1295,LINKS,3287
1296,NEWLY,3284
1297,BUFFY,3274
1298,BLUFF,3266
1299,EERIE,3264
1300,JUICY,3264
1301,TROOP,3259
1302,PADDY,3245
1303,FUNKY,3239
1304,NEGRO,3236
1305,BUTCH,3231
1306,BROOM,3220
1307,KNOTS,3220
1308,CURVE,3219
1309,POLES,3216
1310,SIXTY,3216
1311,GOATS,3201
1312,VALID,3198
1313,BARGE,3195
1314,PANDA,3190
1315,STRAP,3171
1316,BUTTS,3170
1317,FLORA,3159
1318,POLAR,3159
1319,THUDS,3150
1320,SYRUP,3144
1321,NORMA,3143
1322,COATS,3138
1323,GRAMS,3135
1324,THUGS,3135
1325,HAUNT,3128
1326,KIRBY,3125
1327,OLLIE,3123
1328,ESSAY,3118
1329,FEWER,3116
